activation_composition,architecture,mean_test_accuracy,std_test_accuracy,best_test_accuracy,n_trials,epochs,batch_size
"(('leaky_relu', 'leaky_relu', 'softplus', 'softplus', 'softplus'), ('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'softplus', 'tanh', 'tanh'))","[5, 7]",0.8742599999999999,0.006966950552429676,0.8826,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'softplus', 'softplus', 'tanh'), ('softplus', 'softplus', 'softplus', 'tanh', 'tanh', 'tanh'))","[6, 6]",0.9,0.002734227496021504,0.9048,5,10,128
"(('softplus', 'softplus', 'softplus', 'softplus', 'softplus', 'softplus'), ('relu', 'relu', 'softplus', 'softplus', 'softplus', 'tanh'))","[6, 6]",0.89344,0.007734752743300844,0.9002,5,10,128
"(('leaky_relu', 'leaky_relu', 'relu', 'tanh', 'tanh'), ('relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'softplus'))","[5, 7]",0.8869,0.004151144420518257,0.8922,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'softplus', 'softplus'), ('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'relu', 'relu', 'tanh'))","[5, 7]",0.89204,0.009254317911115842,0.8975,5,10,128
"(('leaky_relu', 'relu', 'relu', 'relu', 'softplus', 'tanh', 'tanh'), ('leaky_relu', 'leaky_relu', 'tanh', 'tanh', 'tanh'))","[7, 5]",0.8778799999999999,0.024611411987124996,0.9059,5,10,128
"(('relu', 'relu', 'relu', 'relu', 'softplus'), ('relu', 'relu', 'relu', 'relu', 'softplus', 'softplus', 'tanh'))","[5, 7]",0.87036,0.03362413418959663,0.8918,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'relu', 'softplus', 'tanh'), ('leaky_relu', 'leaky_relu', 'relu', 'relu', 'relu', 'relu'))","[6, 6]",0.90174,0.002937073373274825,0.9059,5,10,128
"(('relu', 'relu', 'relu', 'relu', 'tanh'), ('leaky_relu', 'softplus', 'softplus', 'softplus', 'tanh', 'tanh', 'tanh'))","[5, 7]",0.8843,0.01060754448494088,0.9024,5,10,128
"(('leaky_relu', 'softplus', 'softplus', 'softplus', 'tanh'), ('leaky_relu', 'softplus', 'softplus', 'softplus', 'tanh', 'tanh', 'tanh'))","[5, 7]",0.8849599999999999,0.004399818178061455,0.8893,5,10,128
"(('leaky_relu', 'relu', 'relu', 'relu', 'softplus'), ('leaky_relu', 'leaky_relu', 'softplus', 'softplus', 'softplus', 'softplus', 'softplus'))","[5, 7]",0.88832,0.006538317826474931,0.8973,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'relu', 'softplus', 'softplus'), ('leaky_relu', 'leaky_relu', 'relu', 'relu', 'relu'))","[7, 5]",0.8935000000000001,0.0059766211189935985,0.9018,5,10,128
"(('softplus', 'softplus', 'softplus', 'tanh', 'tanh'), ('relu', 'softplus', 'softplus', 'softplus', 'tanh', 'tanh', 'tanh'))","[5, 7]",0.8800000000000001,0.004142463035441585,0.8865,5,10,128
"(('relu', 'relu', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh'), ('softplus', 'softplus', 'tanh', 'tanh', 'tanh'))","[7, 5]",0.89892,0.00798233048676887,0.9084,5,10,128
"(('leaky_relu', 'relu', 'softplus', 'softplus', 'softplus', 'tanh', 'tanh'), ('leaky_relu', 'leaky_relu', 'softplus', 'softplus', 'tanh'))","[7, 5]",0.8915200000000001,0.004336542401499155,0.8977,5,10,128
"(('leaky_relu', 'leaky_relu', 'softplus', 'tanh', 'tanh', 'tanh', 'tanh'), ('leaky_relu', 'leaky_relu', 'relu', 'relu', 'tanh'))","[7, 5]",0.8956199999999999,0.0038232970065115047,0.9014,5,10,128
"(('leaky_relu', 'softplus', 'softplus', 'softplus', 'softplus'), ('leaky_relu', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh'))","[5, 7]",0.8758799999999999,0.009450375653909236,0.8858,5,10,128
"(('leaky_relu', 'leaky_relu', 'relu', 'relu', 'relu'), ('leaky_relu', 'leaky_relu', 'leaky_relu', 'softplus', 'softplus', 'softplus', 'softplus'))","[5, 7]",0.8869,0.005061225148123737,0.8925,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'relu'), ('relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'softplus'))","[5, 7]",0.8904399999999999,0.00683684137595717,0.8977,5,10,128
"(('leaky_relu', 'softplus', 'softplus', 'softplus', 'tanh', 'tanh'), ('leaky_relu', 'softplus', 'softplus', 'softplus', 'tanh', 'tanh'))","[6, 6]",0.89,0.007987239823618677,0.8985,5,10,128
"(('leaky_relu', 'leaky_relu', 'relu', 'relu', 'softplus'), ('relu', 'relu', 'relu', 'relu', 'tanh', 'tanh', 'tanh'))","[5, 7]",0.8800000000000001,0.006622386276864267,0.8927,5,10,128
"(('leaky_relu', 'relu', 'relu', 'relu', 'tanh', 'tanh', 'tanh'), ('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'tanh'))","[7, 5]",0.89144,0.008885853926325791,0.9036,5,10,128
